transaction_id,date,customer_name,product_category,amount_spent,region
T1001,2023-01-01,Alice Johnson,ELECTRONICS,500.0,NORTH
T1002,2023-02-01,Bob Smith,FURNITURE,150.0,NORTH
T1003,2023-03-01,charlie brown,ELECTRONICS,200.5,SOUTH
T1004,2023-04-01,Alice Johnson,FURNITURE,0.0,SOUTH
T1005,2023-05-01,EDWARD GAUL,ELECTRONICS,300.0,NORTH
T1006,2023-05-01,Bob Smith,FURNITURE,150.0,NORTH
T1007,2023-01-06,Fiona Glen,ELECTRONICS,450.75,WEST
T1008,2023-07-01,George Hill,GROCERIES,75.25,WEST
T1009,2023-08-01,Alice Johnson,ELECTRONICS,500.0,NORTH
T1010,2023-09-01,Hannah Abbott,GROCERIES,0.0,EAST
